ICDCMCode,DiagnosisDesc,TotalDiag
A00.0,"CHOLERA DUE TO VIBRIO CHOLERAE 01, BIOVAR CHOLERAE",6
A00.9,"CHOLERA, UNSPECIFIED",4
A01.00,"TYPHOID FEVER, UNSPECIFIED",26
A01.01,TYPHOID MENINGITIS,1
A01.02,TYPHOID FEVER WITH HEART INVOLVEMENT,1
A01.03,TYPHOID PNEUMONIA,1
A01.04,TYPHOID ARTHRITIS,1
A01.05,TYPHOID OSTEOMYELITIS,1
A02.0,SALMONELLA ENTERITIS,244
A02.1,SALMONELLA SEPSIS,6
A02.20,"LOCALIZED SALMONELLA INFECTION, UNSPECIFIED",1
A02.25,SALMONELLA PYELONEPHRITIS,1
A02.29,SALMONELLA WITH OTHER LOCALIZED INFECTION,1
A02.8,OTHER SPECIFIED SALMONELLA INFECTIONS,14
A02.9,"SALMONELLA INFECTION, UNSPECIFIED",205
A03.0,SHIGELLOSIS DUE TO SHIGELLA DYSENTERIAE,30
A03.1,SHIGELLOSIS DUE TO SHIGELLA FLEXNERI,7
A03.2,SHIGELLOSIS DUE TO SHIGELLA BOYDII,1
A03.3,SHIGELLOSIS DUE TO SHIGELLA SONNEI,3
A03.8,OTHER SHIGELLOSIS,15
A03.9,"SHIGELLOSIS, UNSPECIFIED",208
A04.0,ENTEROPATHOGENIC ESCHERICHIA COLI INFECTION,119
A04.1,ENTEROTOXIGENIC ESCHERICHIA COLI INFECTION,44
A04.2,ENTEROINVASIVE ESCHERICHIA COLI INFECTION,17
A04.3,ENTEROHEMORRHAGIC ESCHERICHIA COLI INFECTION,8
A04.4,OTHER INTESTINAL ESCHERICHIA COLI INFECTIONS,155
A04.5,CAMPYLOBACTER ENTERITIS,595
A04.6,ENTERITIS DUE TO YERSINIA ENTEROCOLITICA,20
A04.71,"ENTEROCOLITIS DUE TO CLOSTRIDIUM DIFFICILE, RECURRENT",347
A04.72,"ENTEROCOLITIS D/T CLOSTRIDIUM DIFFICILE, NOT SPCF AS RECUR",2854
A04.8,OTHER SPECIFIED BACTERIAL INTESTINAL INFECTIONS,817
A04.9,"BACTERIAL INTESTINAL INFECTION, UNSPECIFIED",301
A05.0,FOODBORNE STAPHYLOCOCCAL INTOXICATION,7
A05.1,BOTULISM FOOD POISONING,2
A05.2,FOODBORNE CLOSTRIDIUM PERFRINGENS INTOXICATION,1
A05.3,FOODBORNE VIBRIO PARAHAEMOLYTICUS INTOXICATION,5
A05.4,FOODBORNE BACILLUS CEREUS INTOXICATION,2
A05.5,FOODBORNE VIBRIO VULNIFICUS INTOXICATION,1
A05.8,OTHER SPECIFIED BACTERIAL FOODBORNE INTOXICATIONS,12
A05.9,"BACTERIAL FOODBORNE INTOXICATION, UNSPECIFIED",3599
A06.0,ACUTE AMEBIC DYSENTERY,16
A06.3,AMEBOMA OF INTESTINE,1
A06.4,AMEBIC LIVER ABSCESS,1
A06.89,OTHER AMEBIC INFECTIONS,2
A06.9,"AMEBIASIS, UNSPECIFIED",8
A07.0,BALANTIDIASIS,2
A07.1,GIARDIASIS [LAMBLIASIS],103
A07.2,CRYPTOSPORIDIOSIS,54
A07.3,ISOSPORIASIS,8
A07.4,CYCLOSPORIASIS,7
A07.8,OTHER SPECIFIED PROTOZOAL INTESTINAL DISEASES,10
A07.9,"PROTOZOAL INTESTINAL DISEASE, UNSPECIFIED",3
A08.0,ROTAVIRAL ENTERITIS,223
A08.11,ACUTE GASTROENTEROPATHY DUE TO NORWALK AGENT,637
A08.19,ACUTE GASTROENTEROPATHY DUE TO OTHER SMALL ROUND VIRUSES,10
A08.2,ADENOVIRAL ENTERITIS,178
A08.31,CALICIVIRUS ENTERITIS,26
A08.32,ASTROVIRUS ENTERITIS,33
A08.39,OTHER VIRAL ENTERITIS,673
A08.4,"VIRAL INTESTINAL INFECTION, UNSPECIFIED",25070
A08.8,OTHER SPECIFIED INTESTINAL INFECTIONS,279
A09.,"INFECTIOUS GASTROENTERITIS AND COLITIS, UNSPECIFIED",4641
A15.0,TUBERCULOSIS OF LUNG,117
A15.6,TUBERCULOUS PLEURISY,4
A15.7,PRIMARY RESPIRATORY TUBERCULOSIS,5
A15.8,OTHER RESPIRATORY TUBERCULOSIS,15
A15.9,RESPIRATORY TUBERCULOSIS UNSPECIFIED,278
A17.0,TUBERCULOUS MENINGITIS,2
A17.81,TUBERCULOMA OF BRAIN AND SPINAL CORD,1
A17.9,"TUBERCULOSIS OF NERVOUS SYSTEM, UNSPECIFIED",1
A18.01,TUBERCULOSIS OF SPINE,52
A18.02,TUBERCULOUS ARTHRITIS OF OTHER JOINTS,4
A18.03,TUBERCULOSIS OF OTHER BONES,2
A18.09,OTHER MUSCULOSKELETAL TUBERCULOSIS,1
A18.10,"TUBERCULOSIS OF GENITOURINARY SYSTEM, UNSPECIFIED",1
A18.11,TUBERCULOSIS OF KIDNEY AND URETER,3
A18.12,TUBERCULOSIS OF BLADDER,2
A18.13,TUBERCULOSIS OF OTHER URINARY ORGANS,1
A18.17,TUBERCULOUS FEMALE PELVIC INFLAMMATORY DISEASE,5
A18.2,TUBERCULOUS PERIPHERAL LYMPHADENOPATHY,3
A18.31,TUBERCULOUS PERITONITIS,1
A18.32,TUBERCULOUS ENTERITIS,1
A18.39,RETROPERITONEAL TUBERCULOSIS,1
A18.4,TUBERCULOSIS OF SKIN AND SUBCUTANEOUS TISSUE,16
A18.50,"TUBERCULOSIS OF EYE, UNSPECIFIED",3
A18.53,TUBERCULOUS CHORIORETINITIS,1
A18.54,TUBERCULOUS IRIDOCYCLITIS,1
A18.6,TUBERCULOSIS OF (INNER) (MIDDLE) EAR,2
A18.89,TUBERCULOSIS OF OTHER SITES,2
A19.2,"ACUTE MILIARY TUBERCULOSIS, UNSPECIFIED",1
A19.8,OTHER MILIARY TUBERCULOSIS,1
A19.9,"MILIARY TUBERCULOSIS, UNSPECIFIED",10
A21.3,GASTROINTESTINAL TULAREMIA,1
A21.8,OTHER FORMS OF TULAREMIA,1
A21.9,"TULAREMIA, UNSPECIFIED",2
A22.0,CUTANEOUS ANTHRAX,5
A23.0,BRUCELLOSIS DUE TO BRUCELLA MELITENSIS,1
A23.1,BRUCELLOSIS DUE TO BRUCELLA ABORTUS,1
A23.9,"BRUCELLOSIS, UNSPECIFIED",12
A24.0,GLANDERS,5
A25.9,"RAT-BITE FEVER, UNSPECIFIED",3
A26.0,CUTANEOUS ERYSIPELOID,32
A26.9,"ERYSIPELOID, UNSPECIFIED",1
A27.81,ASEPTIC MENINGITIS IN LEPTOSPIROSIS,1
A27.9,"LEPTOSPIROSIS, UNSPECIFIED",4
A28.0,PASTEURELLOSIS,21
A28.1,CAT-SCRATCH DISEASE,121
A28.9,"ZOONOTIC BACTERIAL DISEASE, UNSPECIFIED",2
A30.5,LEPROMATOUS LEPROSY,2
A30.9,"LEPROSY, UNSPECIFIED",18
