Year,Hospital,County,er_service_level_desc,type,count
2012,ALAMEDA HOSPITAL,ALAMEDA,BASIC,ED_Admit,2595
2012,ALAMEDA HOSPITAL,ALAMEDA,BASIC,ED_Visit,13727
2013,ALAMEDA HOSPITAL,ALAMEDA,BASIC,ED_Admit,2579
2013,ALAMEDA HOSPITAL,ALAMEDA,BASIC,ED_Visit,13538
2014,ALAMEDA HOSPITAL,ALAMEDA,BASIC,ED_Admit,2214
2014,ALAMEDA HOSPITAL,ALAMEDA,BASIC,ED_Visit,14027
2015,ALAMEDA HOSPITAL,ALAMEDA,BASIC,ED_Admit,1907
2015,ALAMEDA HOSPITAL,ALAMEDA,BASIC,ED_Visit,15611
2016,ALAMEDA HOSPITAL,ALAMEDA,BASIC,ED_Admit,1848
2016,ALAMEDA HOSPITAL,ALAMEDA,BASIC,ED_Visit,15111
2017,ALAMEDA HOSPITAL,ALAMEDA,BASIC,ED_Admit,1949
2017,ALAMEDA HOSPITAL,ALAMEDA,BASIC,ED_Visit,14963
2018,ALAMEDA HOSPITAL,ALAMEDA,BASIC,ED_Admit,1984
2018,ALAMEDA HOSPITAL,ALAMEDA,BASIC,ED_Visit,15015
2019,ALAMEDA HOSPITAL,ALAMEDA,BASIC,ED_Admit,2107
2019,ALAMEDA HOSPITAL,ALAMEDA,BASIC,ED_Visit,13804
2020,ALAMEDA HOSPITAL,ALAMEDA,BASIC,ED_Admit,1758
2020,ALAMEDA HOSPITAL,ALAMEDA,BASIC,ED_Visit,10357
2021,ALAMEDA HOSPITAL,ALAMEDA,BASIC,ED_Admit,1904
2021,ALAMEDA HOSPITAL,ALAMEDA,BASIC,ED_Visit,11185
2022,ALAMEDA HOSPITAL,ALAMEDA,BASIC,ED_Admit,2116
2022,ALAMEDA HOSPITAL,ALAMEDA,BASIC,ED_Visit,13579
2023,ALAMEDA HOSPITAL,ALAMEDA,BASIC,ED_Visit,15019
2023,ALAMEDA HOSPITAL,ALAMEDA,BASIC,ED_Admit,2387
2012,ALTA BATES SUMMIT MEDICAL CENTER,ALAMEDA,BASIC,ED_Admit,7842
2012,ALTA BATES SUMMIT MEDICAL CENTER,ALAMEDA,BASIC,ED_Visit,32673
2013,ALTA BATES SUMMIT MEDICAL CENTER,ALAMEDA,BASIC,ED_Admit,7901
2013,ALTA BATES SUMMIT MEDICAL CENTER,ALAMEDA,BASIC,ED_Visit,33495
2014,ALTA BATES SUMMIT MEDICAL CENTER,ALAMEDA,BASIC,ED_Admit,7523
2014,ALTA BATES SUMMIT MEDICAL CENTER,ALAMEDA,BASIC,ED_Visit,36755
2015,ALTA BATES SUMMIT MEDICAL CENTER,ALAMEDA,BASIC,ED_Admit,8528
2015,ALTA BATES SUMMIT MEDICAL CENTER,ALAMEDA,BASIC,ED_Visit,37936
2016,ALTA BATES SUMMIT MEDICAL CENTER,ALAMEDA,BASIC,ED_Admit,8787
2016,ALTA BATES SUMMIT MEDICAL CENTER,ALAMEDA,BASIC,ED_Visit,38295
2017,ALTA BATES SUMMIT MEDICAL CENTER,ALAMEDA,BASIC,ED_Admit,8696
2017,ALTA BATES SUMMIT MEDICAL CENTER,ALAMEDA,BASIC,ED_Visit,37906
2018,ALTA BATES SUMMIT MEDICAL CENTER,ALAMEDA,BASIC,ED_Admit,8882
2018,ALTA BATES SUMMIT MEDICAL CENTER,ALAMEDA,BASIC,ED_Visit,36395
2019,ALTA BATES SUMMIT MEDICAL CENTER,ALAMEDA,BASIC,ED_Admit,8738
2019,ALTA BATES SUMMIT MEDICAL CENTER,ALAMEDA,BASIC,ED_Visit,34894
2020,ALTA BATES SUMMIT MEDICAL CENTER,ALAMEDA,BASIC,ED_Admit,7871
2020,ALTA BATES SUMMIT MEDICAL CENTER,ALAMEDA,BASIC,ED_Visit,26682
