ICDCMCode,ExtCauseDesc,TotalEcm
V00.02XA,"PEDESTRIAN ON FOOT INJURED IN COLLISION W SKATEBOARDER, INIT",9
V00.031A,"PED ON FOOT INJ CLSN WITH RIDER OF STND ELECTR SCOOT, INIT",70
V00.038A,"PED ON FOOT INJ CLSN WITH RIDER OF STND MICR-MOB CONV, INIT",4
V00.09XA,"PED ON FOOT INJURED IN COLLISION W OTH PED CONVEY, INIT",37
V00.111A,"FALL FROM IN-LINE ROLLER-SKATES, INITIAL ENCOUNTER",418
V00.111D,"FALL FROM IN-LINE ROLLER-SKATES, SUBSEQUENT ENCOUNTER",10
V00.111S,"FALL FROM IN-LINE ROLLER-SKATES, SEQUELA",2
V00.112A,"IN-LINE ROLLER-SKATER COLLIDING W STATIONARY OBJECT, INIT",3
V00.118A,"OTHER IN-LINE ROLLER-SKATE ACCIDENT, INITIAL ENCOUNTER",22
V00.121A,"FALL FROM NON-IN-LINE ROLLER-SKATES, INITIAL ENCOUNTER",2039
V00.121D,"FALL FROM NON-IN-LINE ROLLER-SKATES, SUBSEQUENT ENCOUNTER",35
V00.121S,"FALL FROM NON-IN-LINE ROLLER-SKATES, SEQUELA",1
V00.122A,"NON-IN-LINE ROLLER-SKATER COLLIDING W STATNRY OBJ, INIT",3
V00.128A,"OTHER NON-IN-LINE ROLLER-SKATING ACCIDENT, INITIAL ENCOUNTER",135
V00.128D,"OTHER NON-IN-LINE ROLLER-SKATING ACCIDENT, SUBS ENCNTR",2
V00.131A,"FALL FROM SKATEBOARD, INITIAL ENCOUNTER",12886
V00.131D,"FALL FROM SKATEBOARD, SUBSEQUENT ENCOUNTER",217
V00.131S,"FALL FROM SKATEBOARD, SEQUELA",13
V00.132A,"SKATEBOARDER COLLIDING WITH STATIONARY OBJECT, INIT ENCNTR",25
V00.132D,"SKATEBOARDER COLLIDING WITH STATIONARY OBJECT, SUBS ENCNTR",1
V00.138A,"OTHER SKATEBOARD ACCIDENT, INITIAL ENCOUNTER",270
V00.138D,"OTHER SKATEBOARD ACCIDENT, SUBSEQUENT ENCOUNTER",18
