ProcedureCode,TotalProc
Invalid,77
0001A,1
0004A,3
0011A,1
00120,5
0013A,5
00140,1
00142,2
00170,2
00190,1
0027U,1
00300,12
00320,3
0034U,1
00400,28
00410,14
0042T,4520
00450,50
0051A,11
00520,6
0052A,4
00532,35
0053A,1
00540,1
0054A,1
0054T,3
0055T,58
00620,1
00635,3
00731,27
00752,3
0075T,1
0077U,3
00790,17
00811,2
00813,6
00820,1
00830,6
00840,76
00846,1
00851,8
00860,1
0086U,138
00902,8
00910,8
00918,3
00920,1
00921,2
00930,1
00940,3
00948,1
0104A,1
01120,1
0115U,438
01160,1
01200,13
01202,1
01210,4
01214,2
01215,1
0121A,1
01220,5
01230,19
0124A,44
01250,2
01320,6
01340,2
0134A,4
01360,4
01382,1
01390,3
01392,53
01400,17
01402,1
0140U,58
01462,20
01470,8
01474,1
01480,75
01620,15
01630,19
01638,5
01710,1
0171A,2
0172A,1
01730,16
01740,22
0174A,2
0174T,1
01770,1
01810,15
01820,51
01830,74
01840,1
0184T,1
01860,4
01916,1
01922,1
01960,1
01965,6
01966,1
01967,1
01991,7
01999,3
0202U,52522
0216T,1
0223U,2475
0225U,107
0241U,74442
0275T,2
0282U,1
0352U,41
0402T,2
0404T,1
0421T,309
0439T,1
0449T,1
0502T,26
0503T,26
0523T,1
0529T,1
0530T,1
0625T,1
0653T,2
0654T,2
0715T,26
0736T,1
0746T,1
0747T,2
0753T,9
0756T,3
0760T,2
0761T,2
0763T,1
10004,1
10005,113
10006,15
10007,3
10009,17
10021,366
10030,158
10040,2
10060,56957
10061,10198
10080,4560
10081,773
10120,5507
10121,191
10140,1953
10160,4475
10180,94
11000,99
11004,6
11005,5
11008,3
11010,62
11011,20
11012,214
11042,662
11043,165
11044,135
11045,21
11046,43
11047,6
11055,51
11056,2
11057,1
11102,20
11103,4
11104,174
11105,41
11106,28
11107,6
11200,98
11303,1
11305,2
11400,11
11401,8
11402,19
11403,3
11404,4
11406,8
11420,19
11421,7
11422,6
11423,3
11424,2
11426,3
11440,5
